District,State,Students,ELL_Percent,IEP_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio,Strike
CRETE MONEE CUSD 201U,Illinois,4943,0.02,0.17,16.21,0.894,0
CRYSTAL LAKE CCSD 47,Illinois,7586,0.08,0.15,14.12,0.926,0
CUMBERLAND CUSD 77,Illinois,1038,0,0.16,16.48,0.994,0
CUSD 200,Illinois,12829,0.09,0.16,15.09,0.967,0
CUSD 201,Illinois,1367,0.08,0.17,12.66,0.964,0
CUSD 300,Illinois,20912,0.13,0.15,15.2,0.936,0
CUSD 308,Illinois,18121,0.05,0.13,15.6,0.927,0
DANVILLE CCSD 118,Illinois,5948,0.03,0.15,16.3,0.991,0
DARIEN SD 61,Illinois,1519,0.14,0.15,14.12,1.009,0
DECATUR SD 61,Illinois,9124,0.02,0.16,18.5,1.169,0
DEERFIELD SD 109,Illinois,2963,0.02,0.12,12.44,0.989,0
DEKALB CUSD 428,Illinois,6585,0.12,0.15,16.91,1.032,0
DIAMOND LAKE SD 76,Illinois,1022,0.31,0.15,12.97,0.908,0
DIXON USD 170,Illinois,2792,0.01,0.17,17.92,1.051,0
DOLTON SD 148,Illinois,2105,0.03,0.14,11.48,0.988,0
DOLTON SD 149,Illinois,2726,0.03,0.14,19.06,1.074,0
DOWNERS GROVE GSD 58,Illinois,5226,0.05,0.13,17.57,1.002,0
DUNLAP CUSD 323,Illinois,4597,0.05,0.12,17.92,0.953,0
DUPAGE HSD 88,Illinois,4018,0.06,0.15,16.73,0.944,0
DUPO CUSD 196,Illinois,1074,0.01,0.18,14.92,0.953,0
EAST MAINE SD 63,Illinois,3553,0.33,0.13,12.79,0.894,0
EAST MOLINE SD 37,Illinois,2763,0.18,0.14,15.35,1.056,0
EAST PEORIA CHSD 309,Illinois,1035,0,0.17,16.43,1.048,0
EAST PEORIA SD 86,Illinois,1633,0,0.22,14.29,1.225,0
EAST ST LOUIS SD 189,Illinois,5844,0.01,0.14,17.95,0.872,0
EDWARDSVILLE CUSD 7,Illinois,7600,0.01,0.11,18.24,0.987,0
EFFINGHAM CUSD 40,Illinois,2600,0.01,0.19,16.2,0.969,0
EL PASO-GRIDLEY CUSD 11,Illinois,1259,0,0.12,14.25,0.969,0
ELMHURST SD 205,Illinois,8551,0.06,0.14,14.68,0.908,0
ELMWOOD PARK CUSD 401,Illinois,2836,0.14,0.18,14.82,1.199,0
ESD 159,Illinois,1914,0.04,0.13,12.19,0.723,0
EUREKA CUD 140,Illinois,1567,0,0.1,15.43,1.062,0
EVANSTON CCSD 65,Illinois,7997,0.11,0.14,12.86,1.018,0
EVANSTON TWP HSD 202,Illinois,3392,0.04,0.14,13.99,0.99,0
EVERGREEN PARK ESD 124,Illinois,1860,0.07,0.16,11.84,1.132,0
FENTON CHSD 100,Illinois,1521,0.09,0.12,15.47,0.997,0
FIELDCREST CUSD 6,Illinois,1040,0.01,0.14,12.97,0.975,0
FLORA CUSD 35,Illinois,1412,0,0.13,16.32,1.032,0
FLOSSMOOR SD 161,Illinois,2330,0.04,0.13,14.24,1.204,0
FOREST RIDGE SD 142,Illinois,1650,0.06,0.17,17.6,0.916,0
FRANKFORT CCSD 157C,Illinois,2491,0.01,0.13,16.42,0.819,0
FRANKLIN PARK SD 84,Illinois,1306,0.23,0.15,13.39,1.035,0
FREEPORT SD 145,Illinois,4073,0.03,0.15,13.96,0.975,0
FREMONT SD 79,Illinois,2169,0.1,0.14,16.42,1.013,0
GALESBURG CUSD 205,Illinois,4440,0.04,0.16,14.39,1.144,0
GENESEO CUSD 228,Illinois,2613,0,0.11,16.51,0.971,0
GENEVA CUSD 304,Illinois,5788,0.02,0.14,14.74,0.965,0
GENOA KINGSTON CUSD 424,Illinois,1736,0.06,0.1,16.19,0.983,0
GEORGETOWN-RIDGE FARM CUD 4,Illinois,1034,0,0.19,14.77,0.98,0
GLEN ELLYN SD 41,Illinois,3585,0.11,0.12,15.9,1.068,0
GLENBARD TWP HSD 87,Illinois,8110,0.04,0.12,17.25,1.006,0
GLENCOE SD 35,Illinois,1186,0.02,0.12,11.26,0.873,0
GLENVIEW CCSD 34,Illinois,4895,0.13,0.14,13.69,0.985,0
GRANITE CITY CUSD 9,Illinois,6282,0.03,0.21,20.4,1.007,0
GRANT CHSD 124,Illinois,1893,0.01,0.12,18.38,0.922,0
GRAYSLAKE CCSD 46,Illinois,3863,0.11,0.18,15.74,0.937,0
GRAYSLAKE CHSD 127,Illinois,2957,0.02,0.12,15.38,0.928,0
GURNEE SD 56,Illinois,2086,0.16,0.17,13.63,0.95,0
HAMILTON CO CUSD 10,Illinois,1265,0,0.21,17.48,0.959,0
HARLEM UD 122,Illinois,6638,0.04,0.16,14.26,0.95,0
HARRISBURG CUSD 3,Illinois,2004,0,0.21,15.57,1.032,0
HARVARD CUSD 50,Illinois,2633,0.29,0.12,13.14,1.051,0
HARVEY SD 152,Illinois,2136,0.11,0.11,16.03,1.078,0
HAWTHORN CCSD 73,Illinois,4209,0.21,0.14,13.14,0.97,0
HAZEL CREST SD 152-5,Illinois,1011,0.1,0.11,15.76,0.98,0
HERRIN CUSD 4,Illinois,2520,0,0.19,16.36,0.991,0
HERSCHER CUSD 2,Illinois,1745,0.01,0.14,14.73,1.028,0
HIGHLAND CUSD 5,Illinois,2885,0,0.2,16.36,0.923,0
HILLSBORO CUSD 3,Illinois,1755,0,0.15,16.07,1.031,0
HINSDALE CCSD 181,Illinois,3845,0.02,0.11,12.97,0.917,0
HINSDALE TWP HSD 86,Illinois,4287,0.01,0.11,13.81,1,0
HOMER CCSD 33C,Illinois,3734,0.07,0.16,14.81,0.996,0
HOMEWOOD FLOSSMOOR CHSD 233,Illinois,2795,0,0.13,15.57,1.013,0
HOMEWOOD SD 153,Illinois,1969,0.03,0.16,12.79,1.04,0
HONONEGAH CHD 207,Illinois,2111,0,0.12,18.65,0.98,0
HOOPESTON AREA CUSD 11,Illinois,1299,0.01,0.19,14.73,1.048,0
HUNTLEY COMM SCH DIST 158,Illinois,9606,0.02,0.13,16.48,1.082,0
IL VALLEY CENTRAL USD 321,Illinois,2173,0.01,0.15,15.88,0.949,0
INDIAN PRAIRIE CUSD 204,Illinois,28071,0.07,0.11,16.28,0.941,0
INDIAN SPRINGS SD 109,Illinois,2973,0.22,0.13,14.02,0.983,0
IROQUOIS COUNTY CUSD 9,Illinois,1057,0.02,0.17,14.13,1.003,0
IROQUOIS WEST CUSD 10,Illinois,1007,0.05,0.2,14.4,1.006,0
J S MORTON HSD 201,Illinois,8303,0.14,0.12,22.46,0.91,0
JACKSONVILLE SD 117,Illinois,3540,0.02,0.21,15.79,0.936,0
JASPER COUNTY CUD 1,Illinois,1399,0,0.15,19.16,1.147,0
JERSEY CUSD 100,Illinois,2596,0,0.14,19.45,0.96,0
JOHNSBURG CUSD 12,Illinois,1914,0.02,0.14,14.78,1.011,0
JOLIET PSD 86,Illinois,11541,0.21,0.13,16.89,0.937,0
JOLIET TWP HSD 204,Illinois,6584,0.05,0.16,18.96,0.99,0
KANELAND CUSD 302,Illinois,4518,0.01,0.13,14.56,0.898,0
KANKAKEE SD 111,Illinois,5234,0.11,0.12,15.83,1.067,0
KEENEYVILLE SD 20,Illinois,1513,0.17,0.14,13.27,0.969,0
KEWANEE CUSD 229,Illinois,2018,0.07,0.18,16.6,1.088,0
KILDEER COUNTRYSIDE CCSD 96,Illinois,3267,0.13,0.1,12.95,0.978,0
KINNIKINNICK CCSD 131,Illinois,1750,0.01,0.17,16.83,0.966,0
KIRBY SD 140,Illinois,3648,0.03,0.18,13.75,1.018,0
KNOXVILLE CUSD 202,Illinois,1069,0,0.15,13.79,1.789,0
LA GRANGE SD 102,Illinois,3174,0.04,0.14,14.38,1.124,0
LA GRANGE SD 105 SOUTH,Illinois,1427,0.15,0.18,11.77,0.929,0
LA SALLE-PERU TWP HSD 120,Illinois,1225,0.02,0.14,14.3,1.033,0
LAKE FOREST CHSD 115,Illinois,1688,0,0.14,13.38,0.907,0
LAKE FOREST SD 67,Illinois,1757,0,0.14,11.02,0.932,0
LAKE PARK CHSD 108,Illinois,2645,0.03,0.1,17.28,0.875,0
LAKE VILLA CCSD 41,Illinois,2651,0.09,0.17,17.81,0.93,0
LAKE ZURICH CUSD 95,Illinois,5717,0.07,0.14,14.76,0.915,0
LANSING SD 158,Illinois,2595,0.04,0.19,17.64,0.946,0
LAWRENCE COUNTY CUD 20,Illinois,1217,0,0.16,13.3,1.02,0
LEMONT TWP HSD 210,Illinois,1363,0.02,0.1,15.21,0.975,0
LEMONT-BROMBEREK CSD 113A,Illinois,2143,0.07,0.12,18.9,0.848,0
LEYDEN CHSD 212,Illinois,3373,0.09,0.14,15.11,0.96,0
LIBERTYVILLE SD 70,Illinois,2375,0.02,0.08,13.91,1.031,0
LIMESTONE CHSD 310,Illinois,1084,0,0.16,14.13,1.029,0
LINCOLN ESD 156,Illinois,1056,0.11,0.11,21.15,0.963,0
LINCOLN ESD 27,Illinois,1156,0,0.18,13.42,1.081,0
LINCOLN WAY CHSD 210,Illinois,7087,0,0.12,18.14,1.002,0
LINCOLNSHIRE-PRAIRIEVIEW SD 103,Illinois,1742,0.07,0.12,12.63,0.927,0
LINCOLNWOOD SD 74,Illinois,1241,0.14,0.13,12.46,1.076,0
LISLE CUSD 202,Illinois,1507,0.04,0.19,13.17,0.906,0
LITCHFIELD CUSD 12,Illinois,1458,0,0.17,14.97,0.929,0
LOCKPORT TWP HSD 205,Illinois,3789,0.01,0.16,19.08,0.885,0
LOMBARD SD 44,Illinois,3197,0.11,0.14,14.07,0.924,0
LYONS SD 103,Illinois,2510,0.22,0.17,13.25,0.962,0
LYONS TWP HSD 204,Illinois,4046,0.02,0.12,15.79,1.147,0
MACOMB CUSD 185,Illinois,2104,0.02,0.16,15.86,0.886,0
MAERCKER SD 60,Illinois,1410,0.17,0.09,15.18,0.911,0
MAHOMET-SEYMOUR CUSD 3,Illinois,3081,0.01,0.1,17.41,1,0
MAINE TOWNSHIP HSD 207,Illinois,6398,0.06,0.14,16.34,0.998,0
MANHATTAN SD 114,Illinois,1435,0.01,0.08,16.05,1.045,0
MANNHEIM SD 83,Illinois,2765,0.3,0.15,12.41,1.022,0
MANTENO CUSD 5,Illinois,2148,0.02,0.17,15.79,0.955,0
MARENGO-UNION E CONS D 165,Illinois,1004,0.06,0.13,15.3,0.965,0
MARION CUSD 2,Illinois,4028,0,0.18,15.45,1.25,0
MAROA FORSYTH CUSD 2,Illinois,1224,0.01,0.09,17.36,0.916,0
MARQUARDT SD 15,Illinois,2659,0.25,0.14,15.82,0.88,0
MARSHALL CUSD 2C,Illinois,1352,0,0.21,14.08,1.087,0
MASCOUTAH CUD 19,Illinois,3934,0.01,0.15,18.27,1.383,0
MATTESON ESD 162,Illinois,2720,0.01,0.15,13.38,0.947,0
MATTOON CUSD 2,Illinois,3456,0,0.18,17.37,1.049,0
MAYWOOD-MELROSE PARK-BROADVIEW 89,Illinois,5058,0.28,0.12,17.74,1.019,0
MCHENRY CCSD 15,Illinois,4518,0.1,0.18,14.29,0.917,0
MCHENRY CHSD 156,Illinois,2265,0.03,0.14,16.85,0.877,0
MCLEAN COUNTY USD 5,Illinois,13696,0.04,0.15,17.06,0.916,0
MENDOTA CCSD 289,Illinois,1197,0.16,0.19,15.92,1.012,0
MERIDIAN CUSD 223,Illinois,1712,0.03,0.12,16.43,0.817,0
MIDLOTHIAN SD 143,Illinois,1819,0.16,0.17,16.03,1.022,0
MILLBURN CCSD 24,Illinois,1195,0.05,0.12,14.09,0.865,0
MINOOKA CCSD 201,Illinois,4619,0.02,0.13,16.93,0.981,0
MINOOKA CHSD 111,Illinois,2721,0.03,0.09,18.55,0.97,0
MOKENA SD 159,Illinois,1573,0.05,0.13,16.04,0.987,0
MOLINE-COAL VALLEY CUSD 40,Illinois,7230,0.1,0.14,18.28,1.143,0
MOMENCE CUSD 1,Illinois,1147,0.08,0.14,14.76,1.02,0
MONMOUTH-ROSEVILLE CUSD 238,Illinois,1717,0.17,0.14,14.07,0.95,0
MONTICELLO CUSD 25,Illinois,1565,0,0.15,13.61,0.918,0
MORRIS SD 54,Illinois,1168,0.06,0.16,16.45,1.031,0
MORRISON CUSD 6,Illinois,1014,0,0.15,13.52,0.928,0
MORTON CUSD 709,Illinois,3077,0.01,0.16,17.25,1.016,0
MOUNT PROSPECT SD 57,Illinois,2304,0.06,0.14,16.84,0.988,0
MOUNT VERNON SD 80,Illinois,1717,0.02,0.2,16.72,1.006,0
MT VERNON TWP HSD 201,Illinois,1242,0.01,0.17,16.21,0.925,0
MT ZION CUSD 3,Illinois,2523,0,0.09,18.94,1.508,0
MUNDELEIN CONS HSD 120,Illinois,2053,0.05,0.15,17.09,0.997,0
MUNDELEIN ESD 75,Illinois,1667,0.23,0.18,14.41,1.006,0
MURPHYSBORO CUSD 186,Illinois,2144,0.02,0.21,15.87,1.013,0
NAPERVILLE CUSD 203,Illinois,16711,0.05,0.11,15.11,0.94,0
NEW LENOX SD 122,Illinois,5197,0,0.15,18.85,1.002,0
NEW TRIER TWP HSD 203,Illinois,4019,0.01,0.15,12.35,1.034,0
NILES TWP HSD 219,Illinois,4632,0.06,0.12,13.97,0.902,0
NIPPERSINK SD 2,Illinois,1149,0.01,0.14,12.42,1.005,0
NORRIDGE SD 80,Illinois,1136,0.13,0.11,14.55,1.103,0
NORTH BOONE CUSD 200,Illinois,1669,0.07,0.14,15.06,0.601,0
NORTH CHICAGO SD 187,Illinois,3615,0.25,0.15,15.06,0.91,0
NORTH MAC CUSD 34,Illinois,1421,0,0.18,14.73,0.953,0
NORTH PALOS SD 117,Illinois,3347,0.27,0.11,17.62,0.922,0
NORTH SHORE SD 112,Illinois,4092,0.15,0.15,12.05,0.921,0
NORTHBROOK ESD 27,Illinois,1299,0.06,0.15,12.16,0.957,0
NORTHBROOK SD 28,Illinois,1781,0.07,0.13,10.02,1.184,0
NORTHBROOK/GLENVIEW SD 30,Illinois,1162,0.08,0.15,10.9,0.949,0
NORTHFIELD TWP HSD 225,Illinois,5100,0.02,0.12,14.35,0.975,0
O FALLON CCSD 90,Illinois,3667,0,0.16,19.73,0.893,0
O FALLON TWP HSD 203,Illinois,2447,0,0.12,18.25,0.922,0
OAK LAWN CHSD 229,Illinois,1779,0.05,0.15,18.08,0.98,0
OAK LAWN-HOMETOWN SD 123,Illinois,3202,0.11,0.15,14.12,0.908,0
OAK PARK - RIVER FOREST SD 200,Illinois,3376,0,0.17,6752,1.185,0
OAK PARK ESD 97,Illinois,6190,0.02,0.14,14.87,1.002,0
OLYMPIA CUSD 16,Illinois,1864,0,0.15,16.02,0.993,0
OREGON CUSD 220,Illinois,1432,0.01,0.13,15.15,1.062,0
ORLAND SD 135,Illinois,5055,0.1,0.18,14.48,1.024,0
OTTAWA ESD 141,Illinois,2010,0.04,0.19,15,1.047,0
OTTAWA TWP HSD 140,Illinois,1417,0.01,0.15,15.27,1.011,0
PALATINE CCSD 15,Illinois,12516,0.23,0.11,16.96,0.971,0
PALOS CCSD 118,Illinois,2015,0.08,0.17,16.38,1.014,0
PANA CUSD 8,Illinois,1333,0,0.14,15.05,0.976,0
PARIS-UNION SD 95,Illinois,1392,0,0.21,20.61,1.37,0
PARK FOREST SD 163,Illinois,1902,0.01,0.17,14.57,1.176,0
PARK RIDGE CCSD 64,Illinois,4639,0.06,0.09,13.53,0.999,0
PAXTON-BUCKLEY-LODA CUD 10,Illinois,1380,0.02,0.17,13.14,0.982,0
PEKIN CSD 303,Illinois,1948,0,0.13,17.28,0.976,0
PEKIN PSD 108,Illinois,3650,0,0.2,16.64,1.021,0
PEORIA SD 150,Illinois,13329,0.05,0.18,13.62,1.042,0
PEOTONE CUSD 207U,Illinois,1553,0.01,0.17,15.86,0.975,0
PLAINFIELD SD 202,Illinois,27589,0.06,0.15,17.12,0.921,0
PLANO CUSD 88,Illinois,2459,0.13,0.16,14.98,0.889,0
PLEASANT PLAINS CUSD 8,Illinois,1290,0,0.1,15.36,1.207,0
PONTIAC CCSD 429,Illinois,1256,0,0.25,13.37,0.951,0
PORTA CUSD 202,Illinois,1139,0,0.24,13.81,1.062,0
POSEN-ROBBINS ESD 143-5,Illinois,1614,0.25,0.1,16.15,0.979,0
PRAIRIE CENTRAL CUSD 8,Illinois,1955,0.01,0.16,13.9,1.002,0
PRAIRIE-HILLS ESD 144,Illinois,2598,0.03,0.13,16.11,0.969,0
PROSPECT HEIGHTS SD 23,Illinois,1606,0.21,0.12,15.74,1.131,0
PROVISO TWP HSD 209,Illinois,4522,0.1,0.17,18.82,0.945,0
QUEEN BEE SD 16,Illinois,1886,0.32,0.13,15.65,1.081,0
QUINCY SD 172,Illinois,6837,0,0.19,16.74,0.944,0
RANTOUL CITY SD 137,Illinois,1691,0.17,0.18,10.93,0.939,0
REAVIS TWP HSD 220,Illinois,1802,0.1,0.13,15.91,0.983,0
RED BUD CUSD 132,Illinois,1040,0,0.15,14.73,1.116,0
REED CUSTER CUSD 255U,Illinois,1516,0.01,0.16,12.08,0.915,0
RICH TWP HSD 227,Illinois,3110,0.03,0.2,14,0.906,0
RICHLAND COUNTY CUSD 1,Illinois,2447,0.01,0.15,16.84,0.977,0
RIDGELAND SD 122,Illinois,2402,0.26,0.15,16.02,0.896,0
RIVER FOREST SD 90,Illinois,1421,0.02,0.15,12.63,0.923,0
RIVER TRAILS SD 26,Illinois,1528,0.18,0.12,12.08,0.954,0
RIVERDALE CUSD 100,Illinois,1177,0,0.13,16.35,1,0
RIVERSIDE SD 96,Illinois,1725,0.05,0.14,13.79,0.848,0
RIVERSIDE-BROOKFIELD TWP SD 208,Illinois,1634,0.03,0.12,17.51,0.95,0
RIVERTON CUSD 14,Illinois,1493,0,0.2,17.48,0.971,0
ROCHELLE CCSD 231,Illinois,1607,0.19,0.18,13.56,0.878,0
ROCHESTER CUSD 3A,Illinois,2285,0.01,0.13,17.84,0.977,0
ROCK FALLS ESD 13,Illinois,1076,0.04,0.18,16.04,1.033,0
ROCK ISLAND SD 41,Illinois,6546,0.1,0.16,17.43,0.979,0
ROCKFORD SD 205,Illinois,28585,0.12,0.15,16.36,1.072,0
ROCKRIDGE CUSD 300,Illinois,1139,0,0.14,15.45,1.031,0
ROCKTON SD 140,Illinois,1526,0.01,0.14,17.39,0.993,0
ROUND LAKE CUSD 116,Illinois,7030,0.25,0.16,14.29,1.002,0
ROXANA CUSD 1,Illinois,1921,0,0.14,15.77,0.92,0
SANDWICH CUSD 430,Illinois,2087,0.04,0.14,14.84,1.003,0
SCHAUMBURG CCSD 54,Illinois,14814,0.19,0.1,13.03,1.041,0
SCHILLER PARK SD 81,Illinois,1459,0.22,0.12,12.87,0.851,0
SCHUYLER-INDUSTRY CUSD 5,Illinois,1131,0.03,0.18,14.61,0.977,0
SD 45 DUPAGE COUNTY,Illinois,3521,0.2,0.18,15.01,0.971,0
SD U-46,Illinois,39665,0.27,0.13,18.18,0.937,0
SKOKIE SD 68,Illinois,1854,0.19,0.15,13.06,0.952,0
SKOKIE SD 69,Illinois,1697,0.22,0.12,13.16,0.908,0
SKOKIE SD 73-5,Illinois,1091,0.15,0.15,13.22,0.911,0
SOUTH HOLLAND SD 151,Illinois,1590,0.17,0.16,13.12,1.054,0
SOUTHWESTERN CUSD 9,Illinois,1468,0,0.12,17.99,0.999,0
SPARTA CUSD 140,Illinois,1264,0,0.16,14.5,0.987,0
SPRINGFIELD SD 186,Illinois,14903,0.01,0.22,14.57,0.992,0
ST CHARLES CUSD 303,Illinois,12660,0.04,0.13,15.79,0.892,0
STEGER SD 194,Illinois,1464,0.09,0.12,13.02,1.062,0
STERLING CUSD 5,Illinois,3399,0.04,0.19,19.58,0.938,0
STREATOR ESD 44,Illinois,1649,0.08,0.24,17.17,1.069,0
SUMMIT HILL SD 161,Illinois,3096,0.03,0.14,14.51,0.952,0
SUMMIT SD 104,Illinois,1848,0.34,0.12,14.48,1.157,0
SUNNYBROOK SD 171,Illinois,1012,0.11,0.17,14.67,0.996,0
SYCAMORE CUSD 427,Illinois,3782,0.02,0.14,16.18,1.054,0
TEUTOPOLIS CUSD 50,Illinois,1063,0,0.14,17.05,0.972,0
THORNTON FRACTIONAL TWP HSD 215,Illinois,3227,0.04,0.16,16.61,0.973,0
THORNTON TWP HSD 205,Illinois,5298,0.06,0.14,13.67,1.039,0
TOLONO CUSD 7,Illinois,1689,0.01,0.13,13.93,0.953,0
TOWNSHIP HSD 211,Illinois,11925,0.05,0.1,15.26,1.04,0
TOWNSHIP HSD 214,Illinois,12026,0.06,0.11,16.76,1.001,0
TRIAD CUSD 2,Illinois,3718,0,0.15,16.93,1.039,0
TRICO CUSD 176,Illinois,1002,0.02,0.17,16.32,1.003,0
TROY CCSD 30C,Illinois,4261,0.06,0.13,15.11,0.958,0
TWP HSD 113,Illinois,3737,0.02,0.16,14.05,1.157,0
UNITED TWP HSD 30,Illinois,1690,0.05,0.14,18.39,0.996,0
URBANA SD 116,Illinois,4426,0.13,0.17,12.24,0.968,0
VALLEY VIEW CUSD 365U,Illinois,16830,0.13,0.16,14.13,0.925,0
VANDALIA CUSD 203,Illinois,1490,0,0.18,15.47,0.988,0
W HARVEY-DIXMOOR PSD 147,Illinois,1166,0.2,0.15,14.22,1.118,0
WABASH CUSD 348,Illinois,1538,0,0.17,16.9,1.097,0
WARREN TWP HSD 121,Illinois,4260,0.04,0.13,16.55,0.934,0
WASHINGTON CHSD 308,Illinois,1332,0,0.1,17.13,1.128,0
WAUCONDA CUSD 118,Illinois,4742,0.11,0.14,16.12,1.062,0
WAUKEGAN CUSD 60,Illinois,16591,0.3,0.13,15.47,0.997,0
WESCLIN CUSD 3,Illinois,1360,0.02,0.18,16.46,1.178,0
WEST CARROLL CUSD 314,Illinois,1133,0.02,0.19,14.87,0.962,0
WEST CHICAGO ESD 33,Illinois,4547,0.46,0.16,15.19,0.875,0
WESTCHESTER SD 92-5,Illinois,1151,0.09,0.15,14.72,0.964,0
WESTERN SPRINGS SD 101,Illinois,1413,0,0.08,12.15,1.291,0
WHEELING CCSD 21,Illinois,6698,0.37,0.12,15,1.135,0
WILL COUNTY SD 92,Illinois,1533,0.03,0.16,13.73,1.078,0
WILLIAMSVILLE CUSD 15,Illinois,1567,0,0.13,16.91,1.013,0
WILMETTE SD 39,Illinois,3695,0.03,0.13,13.77,0.957,0
WILMINGTON CUSD 209U,Illinois,1396,0.01,0.17,15.09,1.061,0
WINNEBAGO CUSD 323,Illinois,1382,0.02,0.17,14.5,0.98,0
WINNETKA SD 36,Illinois,1790,0.01,0.22,10.63,0.89,0
WOOD DALE SD 7,Illinois,1121,0.24,0.12,14.08,0.979,0
WOODLAND CCSD 50,Illinois,5706,0.16,0.12,13.78,0.943,0
WOODRIDGE SD 68,Illinois,2976,0.16,0.15,15.34,0.948,0
WOODSTOCK CUSD 200,Illinois,6513,0.12,0.12,15.95,0.921,0
WORTH SD 127,Illinois,1167,0.17,0.17,15.88,0.908,0
YORKVILLE CUSD 115,Illinois,6112,0.03,0.16,14.96,1.081,0
ZION ESD 6,Illinois,2777,0.17,0.16,14.86,0.928,0
ZION-BENTON TWP HSD 126,Illinois,2644,0.05,0.14,16.32,0.884,0
ADAMS CENTRAL COMMUNITY SCHOOLS,Indiana,1047,0.03,0.11,11.82,0.874,0
ALEXANDRIA COMMUNITY SCHOOL CORP,Indiana,1551,0.01,0.19,18.57,0.981,0
ANDERSON COMMUNITY SCHOOL CORP,Indiana,8674,0.03,0.21,17.9,0.8,0
AVON COMMUNITY SCHOOL CORP,Indiana,9627,0.03,0.16,21.99,0.855,0
BARTHOLOMEW CON SCHOOL CORP,Indiana,11498,0.08,0.14,18.22,0.996,0
BATESVILLE COMMUNITY SCHOOL CORP,Indiana,1970,0.01,0.16,14.28,1.051,0
BAUGO COMMUNITY SCHOOLS,Indiana,1825,0.04,0.14,16.91,0.928,0
BEECH GROVE CITY SCHOOLS,Indiana,2194,0.03,0.22,13.2,0.956,0
BENTON COMMUNITY SCHOOL CORP,Indiana,1897,0.02,0.25,14.85,0.899,0
BLACKFORD COUNTY SCHOOLS,Indiana,1872,0.01,0.18,19.38,0.877,0
BREMEN PUBLIC SCHOOLS,Indiana,1304,0.11,0.15,13.1,0.925,0
BROWN COUNTY SCHOOL CORPORATION,Indiana,2107,0,0.25,15.49,1.019,0
BROWNSBURG COMMUNITY SCHOOL CORP,Indiana,8719,0.01,0.12,17.03,0.878,0
BROWNSTOWN CNT COM SCH CORP,Indiana,1501,0,0.16,16.17,1.086,0
CARMEL CLAY SCHOOLS,Indiana,16035,0.03,0.11,18.95,0.906,0
CARROLL CONSOLIDATED SCHOOL CORP,Indiana,1111,0,0.11,12.79,0.96,0
CENTER GROVE COMMUNITY SCHOOL CORP,Indiana,8256,0.01,0.15,20.69,1.137,0
CENTERVILLE-ABINGTON COM SCHS,Indiana,1491,0,0.12,14.07,0.918,0
CENTRAL NOBLE COM SCHOOL CORP,Indiana,1244,0,0.17,17.68,0.846,0
CLARK-PLEASANT COMMUNITY SCH CORP,Indiana,6826,0.03,0.15,21.54,0.874,0
CLARKSVILLE COMMUNITY SCHOOL CORP,Indiana,1329,0.04,0.23,14.97,0.969,0
CLAY COMMUNITY SCHOOLS,Indiana,4125,0,0.22,14.98,0.964,0
CLINTON PRAIRIE SCHOOL CORPORATION,Indiana,1252,0.02,0.13,18.8,0.794,0
COMMUNITY SCHOOLS OF FRANKFORT,Indiana,3187,0.22,0.13,18.69,0.898,0
CONCORD COMMUNITY SCHOOLS,Indiana,4819,0.17,0.15,15.11,0.846,0
CRAWFORD COUNTY COMMUNITY SCH CORP,Indiana,1631,0,0.22,20.38,0.953,0
CRAWFORDSVILLE COMMUNITY SCHOOLS,Indiana,2384,0.07,0.22,14.74,0.943,0
CROWN POINT COMMUNITY SCHOOL CORP,Indiana,8447,0.02,0.12,19.71,0.876,0
DANVILLE COMMUNITY SCHOOL CORP,Indiana,2435,0.01,0.14,17.78,0.843,0
DECATUR COUNTY COMMUNITY SCHOOLS,Indiana,1875,0,0.19,11.2,0.918,0
DEKALB CO CTL UNITED SCH DIST,Indiana,3776,0.01,0.17,20.46,0.81,0
DEKALB CO EASTERN COM SCH DIST,Indiana,1332,0.01,0.19,16.02,0.86,0
DELPHI COMMUNITY SCHOOL CORP,Indiana,1477,0.05,0.12,16.3,0.975,0
DUNELAND SCHOOL CORPORATION,Indiana,5667,0.01,0.18,18.52,0.852,0
EAST ALLEN COUNTY SCHOOLS,Indiana,9116,0.08,0.14,16.85,0.937,0
EAST NOBLE SCHOOL CORPORATION,Indiana,3648,0.03,0.21,15.55,0.806,0
EAST PORTER COUNTY SCHOOL CORP,Indiana,2313,0,0.16,15.44,0.865,0
EAST WASHINGTON SCHOOL CORP,Indiana,1468,0,0.19,18.62,0.98,0
EASTBROOK COMMUNITY SCH CORP,Indiana,1415,0.01,0.15,12.82,0.938,0
EASTERN GREENE SCHOOLS,Indiana,1197,0,0.16,15.45,0.925,0
EASTERN HANCOCK CO COM SCH CORP,Indiana,1042,0,0.19,13.35,0.943,0
EASTERN HOWARD SCHOOL CORPORATION,Indiana,1071,0,0.17,11.65,0.87,0
ELKHART COMMUNITY SCHOOLS,Indiana,13952,0.12,0.17,18.66,0.858,0
ELWOOD COMMUNITY SCHOOL CORP,Indiana,1787,0.02,0.17,20.59,0.934,0
EVANSVILLE VANDERBURGH SCHOOL CORP,Indiana,22879,0.02,0.17,13.19,0.951,0
EXCEL CENTER FOR ADULT LEARNERS,Indiana,1036,0.02,0.1,30.13,0.982,0
FAIRFIELD COMMUNITY SCHOOLS,Indiana,2051,0.09,0.13,15.76,0.903,0
FAYETTE COUNTY SCHOOL CORPORATION,Indiana,3618,0,0.17,17.36,0.93,0
